age_group,residence_duration,participation_frequency,rank_viewing_projects,rank_search,rank_events_calendar,rank_filter_areas,rank_feedback_account,rank_email_updates,rank_comment_developments,rank_project_descriptions,rank_key_dates,rank_location_details,rank_project_timelines,rank_faqs,rank_location_maps,rank_commenting,rank_council_meetings,design_preference,homepage_preference,prototype_interest,additional_comments,accessibility_alt_text,accessibility_contrast,accessibility_text_size,accessibility_none,accessibility_other,accessibility_other_text
25-34,More than 10 years,Very often,1,3,5,4,7,6,2,1,2,5,3,8,7,4,6,4,Recent news and easy navigation,1,NA,0,0,0,0,0,NA
65+,More than 10 years,Sometimes,3,5,7,6,4,1,2,5,1,2,6,8,7,3,4,4,What's latest in Chesterfield. What's happening in the country. Safety and security,1,None,0,0,0,1,0,NA
45-54,More than 10 years,Very often,1,6,4,2,7,5,3,1,6,7,2,4,8,5,3,4,"Development, location & dates",1,NA,0,0,0,1,0,NA
55-64,1-5 years,Very often,1,2,3,4,5,6,7,1,2,3,4,5,6,7,8,4,map of chesterfield,2,NA,0,1,1,0,0,NA
35-44,1-5 years,Sometimes,1,2,7,3,5,6,4,1,4,6,7,5,8,3,2,4,Information about the project,2,NA,0,0,0,1,0,NA
45-54,1-5 years,Sometimes,1,3,4,2,7,6,5,1,5,3,4,8,2,6,7,4,N/A,1,N/A,0,0,0,1,0,NA
45-54,1-5 years,Very often,1,4,3,2,5,6,7,1,3,5,2,6,7,8,4,2,"The project description and timeline, town hall meeting dates and locations.",1,NA,0,1,0,0,0,NA
35-44,6-10 years,Often,2,5,1,7,3,4,6,2,1,4,5,3,6,7,8,4,Function,1,NA,0,0,0,1,0,NA
45-54,More than 10 years,Often,1,5,2,7,3,6,4,1,3,2,4,5,6,7,8,4,Updates,1,NA,0,0,0,1,0,NA
55-64,More than 10 years,Very often,1,2,6,5,4,7,3,1,6,5,7,4,8,2,3,3,Everything related to the a project that is useful,2,No,0,0,0,1,0,NA
25-34,1-5 years,Very often,2,1,6,4,3,5,7,5,3,4,2,1,6,8,7,4,Brief explanation of project,2,N/A,0,0,0,1,0,NA
35-44,More than 10 years,Sometimes,1,2,4,5,3,6,7,1,3,4,5,6,7,8,2,1,Christmas,2,NA,0,1,0,0,0,NA
55-64,1-5 years,Often,1,6,5,4,3,7,2,1,3,2,4,5,6,7,8,4,Content,1,No,1,1,1,0,0,NA
55-64,More than 10 years,Very often,1,2,3,4,5,6,7,2,1,3,5,6,4,7,8,4,NA,1,No,1,0,0,0,0,NA
35-44,More than 10 years,Often,2,4,5,3,6,1,7,6,2,4,5,7,1,8,3,2,A slow motion video that captures the heart and vibe of a place.,1,NA,0,0,1,0,0,NA
55-64,More than 10 years,Often,2,1,6,4,5,7,3,1,4,3,5,8,2,7,6,2,Upcoming developments in Chesterfield,1,NA,0,1,1,0,0,NA
25-34,I don't live in Chesterfield,Very often,1,3,5,6,4,7,2,2,4,5,6,1,7,3,8,3,images,2,NA,0,1,1,0,0,NA
18-24,I don't live in Chesterfield,Very often,2,4,3,1,6,7,5,1,3,4,2,6,7,5,8,1,Navigation bar at top clearly dividing the sections of the website off from the homepage,2,NA,1,0,1,0,0,NA
25-34,I don't live in Chesterfield,Very often,4,1,3,2,7,6,5,1,4,3,6,8,5,7,2,2,"Easy to use menu, easy to see sections or categories, clearly laid out home page with core info to see while scrolling vertically",2,NA,1,1,1,0,0,NA
25-34,I don't live in Chesterfield,Very often,6,3,2,4,5,1,7,3,5,6,7,1,8,4,2,4,What the website is and its main purpose,2,NA,0,0,0,1,0,NA
25-34,I don't live in Chesterfield,Very often,3,4,1,2,6,7,5,1,6,3,4,5,2,8,7,4,"Introduction to the site, navigation bar",2,NA,0,1,1,0,0,NA
35-44,I don't live in Chesterfield,Very often,1,3,4,5,6,7,2,3,6,2,7,1,4,5,8,4,NA,2,NA,0,0,0,1,0,NA
25-34,I don't live in Chesterfield,Sometimes,2,5,4,1,6,7,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,0,0,0,NA
35-44,I don't live in Chesterfield,Very often,3,1,5,6,7,2,4,3,4,5,2,1,7,8,6,4,a banner with the subject matter I will be reviewing,2,Nothing I can think of at this time.,1,1,1,0,0,NA
18-24,I don't live in Chesterfield,Very often,2,6,1,7,3,5,4,6,1,2,3,4,7,5,8,2,the most important and up-to-date info,2,NA,0,0,0,1,0,NA
65+,More than 10 years,Often,1,4,2,6,5,3,7,1,5,2,4,6,3,7,8,4,NA,2,No,0,0,0,1,0,NA
25-34,Less than 1 year,Very often,1,2,5,3,6,7,4,1,6,5,2,3,4,8,7,2,"About company, mission and values",2,NA,0,0,1,0,0,NA
45-54,More than 10 years,Sometimes,2,1,4,3,5,6,7,1,2,3,4,6,7,8,5,4,Design/pictures,1,None,0,0,0,1,0,NA
18-24,I don't live in Chesterfield,Very often,3,4,2,5,6,1,7,4,2,1,3,8,5,7,6,4,No clue. General information??,2,NA,1,1,0,0,0,NA
35-44,I don't live in Chesterfield,Very often,1,3,6,4,7,5,2,1,3,4,5,6,2,8,7,3,"project overview (details, phases, timelines), who are main stakeholders and people responsible for the project",2,NA,0,1,1,0,0,NA
55-64,More than 10 years,Very often,2,7,1,4,6,5,3,2,6,4,7,8,5,3,1,4,Clear title of the development plan,1,NA,1,0,0,0,0,NA
